title1,release_date,country,poster,link_trailer,story,final_genres,taglines,runtime_final,earning,final_budget,language,final_writers,director,final_actors,imdb
Anand (1971) ,1971-03-12,"India
","https://m.media-amazon.com/images/M/MV5BNmZkMTMzNmEtMWU5NC00MjEzLWE5MzktYzRlMmQyMzk0YmM1XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX45_CR0,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi3002710809?playlistId=tt0066763,    Dr Bhaskar Bannerjee is not happy with his profession as he cant save the lives of people dying of illness due to poverty.His Dr friend Kulkarni charges huge for imaginary illness of rich and uses that money to people who cant afford treatment.Things change when Anand a cancer patients enters Bhaskar's life Anand is cheerful and believes in spreading happiness to everyone as he knows he is on last stage of cancer and has few months to live.Bhaskar and Anand bond very well Anand also gets Bhaskar's love life back on track and Bhaskar doesn't want him to loose anymore.As time passes Anand's condition starts to deteriorate and everyone around him is just hoping for a miracle., Drama,Anand (1971) ,122.0,3000000.0,305196934.0,Hindi,Hrishikesh Mukherjee-Hrishikesh Mukherjee-4 more credits,"
Hrishikesh Mukherjee ",Rajesh Khanna-Amitabh Bachchan-Sumita Sanyal,8.8
Drishyam (2013) ,2013-12-19,"India
","https://m.media-amazon.com/images/M/MV5BYmY3MzYwMGUtOWMxYS00OGVhLWFjNmUtYzlkNGVmY2ZkMjA3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY67_CR3,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi1045477401?playlistId=tt3417422,"    Georgekutty (Mohanlal) is a cable TV network owner in a remote and hilly village in Kerala. He lives a happy life with his wife and 2 girls. The first half revolves around the depiction of their happy family. Anju (Ansiba), Georgekutty's daughter goes to a school trip in between the proceedings. After a few days a guy who had been at the school trip with her meets Anju. He blackmails her with a video of her that he had captured during the school trip. In the course of events he is accidentally killed by Rani (Meena) and Anju. Georgekutty on returning home is appraised of the events and thus begins a cat and mouse game as the murdered person is the son of IG Geeta Prabhakar (Asha Sharath) and Prabhakar (Siddique). How the family weathers the storm that ensues during the murder investigation forms the rest of the story leading to a deeply satisfying and unexpected climax.", Crime  Drama  Thriller,Family is Everything for a Common Man                ,,348808135.0,260163874.0,Hindi,Jeethu Joseph,"
Jeethu Joseph ",Mohanlal-Meena-Ansiba,8.8
Nayakan (1987) ,1987-07-30,"India
","https://m.media-amazon.com/images/M/MV5BZmFiYjJkNTEtZDdlMi00YTA5LTk1YTYtMDgxM2M2MTRmNGFhXkEyXkFqcGdeQXVyNjc5Mjg4Nzc@._V1_UX45_CR0,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi155499289?playlistId=tt0093603,"    A small boy (Ratnavelu) from Tamilnadu sees his father, a labor leader, killed in cold blood by a policeman. He kills the policeman and runs away to the city of Bombay. From there, the story traces his ascent to become a mafia chief (Velu Naicker).", Crime  Drama,Nayakan (1987) ,,298311738.0,228634760.0,Hindi,Balakumaran-Rajasri-1 more credit,"
Mani Ratnam ",Kamal Haasan-Saranya Ponvannan-Delhi Ganesh,8.8
Anbe Sivam (2003) ,2003-01-14,"India
","https://m.media-amazon.com/images/M/MV5BMjQwZWQwYjItNTIzNy00NmE5LWE1NjctZDE5MzgyMzY5YjljXkEyXkFqcGdeQXVyOTA0NTIzNzU@._V1_UY67_CR0,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi2824911641?playlistId=tt0367495,"    Evocative and provocative, this masterfully crafted relationship drama tells the story of a series of comic events that occur when Nalla Sivam (Kamal Haasan) a wise-cracking, handicapped communist and Anbarasu (R. Madhavan), an arrogant young advertisement filmmaker who favors capitalism meet. They get stuck with each other on their problem-filled trip from Bhubaneswar to Chennai, giving them a unique opportunity to explore each other's belief system. Themes such as globalization, financial disparity and compassion in present-day India are explored around the two protagonists, while they also find how deeply interconnected their lives are.", Adventure  Comedy  Drama,Anbe Sivam (2003) ,,249679818.0,354444956.0,Hindi,Kamal Haasan-Kamal Haasan-1 more credit,"
Sundar C. ",Kamal Haasan-Madhavan-Kiran Rathod,8.8
Gol Maal (1979) ,1979-04-20,"India
","https://m.media-amazon.com/images/M/MV5BMjA4OTczODgxNF5BMl5BanBnXkFtZTgwMDAzMTU2NDE@._V1_UY67_CR2,0,45,67_AL_.jpg",,"    Ramprasad is a recent college graduate who finds a job with a finicky man, Bhavani Shankar, who believes that a man without a mustache is a man without a character. Bhavani Shankar is also against any of his employees indulging in recreation of any kind. When Ramprasad is caught by his boss at a hockey match, he has to invent a twin brother, the clean-shaven Laxman Prasad, to save his job. When Bhavani's daughter falls in love with the clean-shaven Laxman Prasad, and insists on marrying him, and Bhavani insists she should marry Ramprasad, things take a whacky turn. A fake mother and a hilarious chase are other enjoyable features involved in this comedy.", Comedy  Romance,Gol Maal (1979) ,120.0,477739982.0,440453286.0,Hindi,Sailesh Dey-Sachin Bhowmick-1 more credit,"
Hrishikesh Mukherjee ",Amol Palekar-Bindiya Goswami-Deven Verma,8.6
Vikram Vedha (2017) ,2017-07-21,"India
","https://m.media-amazon.com/images/M/MV5BOThmZDI0YmMtNjRmYS00ODBjLTliNDktY2NkNWU4MDZlZDFiXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_UY67_CR2,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi148027673?playlistId=tt6148156,"    A badass cop Vikram leads a special task force formed to eliminate a kickass Vedha's gang running amok on the streets of Chennai, making a mockery of Law and Order. An encounter planned by a Vikram's friend Simon, kills Vedha's trusted aides and brings him out of hiding. Vedha lays his clutch on Vikram and engages in a disturbing mind game of sorts which results in a quest to reveal the truth behind that fateful encounter..", Action  Crime  Thriller,"It's easy to choose between good and bad, and we both are bad guys. What would you do?        ",,310271805.0,426676358.0,Hindi,Manikandan-Gayatri-1 more credit,"
Gayatri, Pushkar ",Vijay Sethupathi-Madhavan-Varalaxmi Sarathkumar,8.7
Black Friday (2004) ,2007-02-9,"India
","https://m.media-amazon.com/images/M/MV5BZjA2NjJmOGMtMGMxMS00OGNhLWE2OTEtM2NjYWE5ZGI1MjYyXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY67_CR0,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi3099769625?playlistId=tt0400234,"    A dramatic presentation of the bomb blasts that rocked Bombay on March 12, 1993, displays the police investigation, amidst allegations of human rights violations, led by DCP Rakesh Maria, in tracking down the suspects, especially Bashir Khan. Bashir managed to elude authorities by re-locating to Rajasthan, Uttar Pradesh, Delhi, and West Bengal, after finally being apprehended in Bombay. His confession and subsequent flashbacks showcases the apathy shown by authorities who refused to intervene during the destruction of the sacred Babri Masjid by Hindu Kar Sevaks, and the inability of the police to fulfill their mandate and protect the vulnerable, forcing many to flee to other locations. The subsequent aftermath that succeeded in irreversibly polarizing communities in Bombay; Pakistan's involvement in training and arms' supplies; the main alleged suspects, Dawood Ibrahim, and Mushtaq Memon, sought refuge in Dubai, United Arab Emirates, while Indian politicians made a cosmetic move to ...", Action  Crime  Drama  History,The story of the Bombay bomb blasts        ,143.0,289508365.0,452511454.0,Hindi,Anurag Kashyap-Hussain Zaidi-1 more credit,"
Anurag Kashyap ",Kay Kay Menon-Pavan Malhotra-Aditya Srivastava,8.6
Ratsasan (2018) ,2018-10-5,"India
","https://m.media-amazon.com/images/M/MV5BMjU2NzIzMjYtMGE2ZS00YzgzLWE5MzgtZTFiYTlmOWNlYmJkXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_UY67_CR2,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi2162473497?playlistId=tt7060344,"    Circumstances force Arun, an aspiring film director, to take up the job of a Sub Inspector after his father passes away. While Arun faces issues in adjusting to the lifestyle of a police officer, a series of mysterious murders of school going girls happen in the city.", Action  Crime  Drama  History,Ratsasan (2018) ,143.0,316580314.0,377109206.0,Hindi,Ram Kumar,"
Ram Kumar ",Radha Ravi-Sangili Murugan-Nizhalgal Ravi,8.8
Pather Panchali (1955) ,1955-08-26,"India
","https://m.media-amazon.com/images/M/MV5BMTU5ZTk4Y2YtYTQ4Zi00YzQ3LWJmZjEtOGJjMjQzN2M4MTY1XkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_UY67_CR0,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi3114774553?playlistId=tt0048473,"    The story of a young boy, Apu, and life in his small Indian village. His parents are quite poor - his father Harihar, a writer and poet, gave away the family's fruit orchard to settle his brother's debts. His sister Durga and an old aunt also still lives with them. His mother Sarbojaya bears the brunt of the family's situation. She scrapes by and sells her personal possessions to put food on the table and has to bear the taunts of her neighbors as Durga is always stealing fruit from their orchard. Things get worse when Harihar disappears for five months and Durga falls ill. Even after Harihar returns, the family is left with few alternatives.", Drama,Pather Panchali (1955) ,125.0,202632646.0,214187051.0,Hindi,Bibhutibhushan Bandyopadhyay-Satyajit Ray,"
Satyajit Ray ",Kanu Bannerjee-Karuna Bannerjee-Subir Banerjee,8.5
Dangal (2016) ,2016-12-23,"India
","https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_UY67_CR1,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi2094904857?playlistId=tt5074352,"    Biopic of Mahavir Singh Phogat, who taught wrestling to his daughters Babita Kumari and Geeta Phogat. Geeta Phogat was India's first female wrestler to win at the 2010 Commonwealth Games, where she won the gold medal (55 kg) while her sister Babita Kumari won the silver (51 kg).", Action  Biography  Drama  Sport,You think our girls are any lesser than boys?        ,161.0,498675441.0,1497300000.0,Hindi,Piyush Gupta-Shreyas Jain-3 more credits,"
Nitesh Tiwari ",Aamir Khan-Sakshi Tanwar-Fatima Sana Shaikh,8.5
Taare Zameen Par (2007) ,2007-12-21,"India
","https://m.media-amazon.com/images/M/MV5BNTVmYTk2NjAtYzY3MS00YjFjLTlkYzktYzg3YzMyZDQyOWRiXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi1834943001?playlistId=tt0986264,"    Ishaan Awasthi is an eight-year-old child whose world is filled with wonders that no one else seems to appreciate; colours, fish, dogs and kites are just not important in the world of adults, who are much more interested in things like homework, marks and neatness. And Ishaan just cannot seem to get anything right in class. When he gets into far more trouble than his parents can handle, he is packed off to a boarding school to 'be disciplined'. Things are no different at his new school, and Ishaan has to contend with the added trauma of separation from his family. One day a new art teacher bursts onto the scene, Ram Shankar Nikumbh, who infects the students with joy and optimism. He breaks all the rules of 'how things are done' by asking them to think, dream and imagine, and all the children respond with enthusiasm, all except Ishaan. Nikumbh soon realizes that Ishaan is very unhappy, and he sets out to discover why. With time, patience and care, he ultimately helps Ishaan find ...", Drama  Family,Every Child is Special        ,165.0,421615463.0,231135292.0,Hindi,Amole Gupte-Amole Gupte,"
Aamir Khan, Amole Gupte (uncredited)    ",Darsheel Safary-Aamir Khan-Tisca Chopra,8.4
3 Idiots (2009) ,2009-12-25,"India
","https://m.media-amazon.com/images/M/MV5BNTkyOGVjMGEtNmQzZi00NzFlLTlhOWQtODYyMDc2ZGJmYzFhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR1,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi3086596889?playlistId=tt1187043,"    Farhan Qureshi and Raju Rastogi want to re-unite with their fellow collegian, Rancho, after faking a stroke aboard an Air India plane, and excusing himself from his wife - trouser less - respectively. Enroute, they encounter another student, Chatur Ramalingam, now a successful businessman, who reminds them of a bet they had undertaken 10 years ago. The trio, while recollecting hilarious antics, including their run-ins with the Dean of Delhi's Imperial College of Engineering, Viru Sahastrabudhe, race to locate Rancho, at his last known address - little knowing the secret that was kept from them all this time.", Comedy  Drama,Don't be Stupid. Be an I.D.I.O.T.        ,170.0,446066429.0,550000000.0,Hindi,Rajkumar Hirani-Abhijat Joshi-3 more credits,"
Rajkumar Hirani ",Aamir Khan-Madhavan-Mona Singh,8.4
Aruvi (2016) ,2017-12-15,"India
","https://m.media-amazon.com/images/M/MV5BNjFhZWU0NmItYjkyMS00Y2VkLTkxMDctYzlhM2RiMDM2NWU3XkEyXkFqcGdeQXVyODk4ODEyMjk@._V1_UX45_CR0,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi2542975001?playlistId=tt5867800,    A gentle girl born and brought up amidst the ever growing eco-social-consumeristic environment finds it difficult to fit in the society. She decides to take it hard on the people. What she does is the rest of the story., Comedy  Drama,Aruvi (2016) ,170.0,467269259.0,550000000.0,Hindi,Arun Prabhu Purushothaman,"
Arun Prabhu Purushothaman ",Aditi Balan-Padmashri Mohammad Ali-Pradeep Anthony,8.8
Manichithrathazhu (1993) ,1993-12-23,"India
","https://m.media-amazon.com/images/M/MV5BZjQxMmE4NDMtZGVkYi00YmQyLThiNTMtOTVmNDEyZWQ2MzUwXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UX45_CR0,0,45,67_AL_.jpg",,"    Renowned Psychiatrist Dr. Sunny Joseph lives in America. He decides to travel to a town in India after he gets a distress call from his friend, who belongs to a very noble and wealthy family, to counsel and treat a female family member, who he suspects is responsible for a variety of incidents. Sunny accepts this assignment not realizing that there is another side to this tale, namely a vengeful spirit, who may not respond to his methods, and he may end up endangering everyone's lives.", Comedy  Horror  Musical  Mystery  Thriller,Manichithrathazhu (1993) ,,224760315.0,550000000.0,Hindi,Madhu Muttam,"
Fazil ",Mohanlal-Shobana-Suresh Gopi,8.7
96 (2018) ,2018-10-4,"India
","https://m.media-amazon.com/images/M/MV5BN2NjNzY4NTItNGRhNC00ZjY1LWExODMtYzNkNDgzZGViMGZhXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UX45_CR0,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi639417113?playlistId=tt7019842,    Two high school sweethearts meet at a reunion after 22 years and reminisce about their past over the course of an evening., Drama  Romance,96 (2018) ,,222379103.0,550000000.0,Hindi,C. Prem Kumar,"
C. Prem Kumar ",Vijay Sethupathi-Trisha Krishnan-Varsha Bollamma,8.8
Jaane Bhi Do Yaaro (1983) ,1983-08-12,"India
","https://m.media-amazon.com/images/M/MV5BMDE0Y2NhYjEtNWM3MS00MzFiLTlkODctYmViY2Q4OTczYWI2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY67_CR3,0,45,67_AL_.jpg",,"    Vinod (Naseeruddin Shah) and Sudhir (Ravi Baswani) are two professional photographers trying to start a photo studio. The first real assignment that they get, from the activist magazine Khabardar (literally meaning beware), draws them into the shady world of Bombay real estate. They discover that one of the biggest builders in Bombay, Tarneja, is trying to bribe Municipal Commissioner D'Mello (Satish Shah) into giving him a bridge contract. Meanwhile D'Mello is negotiating with Tarneja's arch rival Ahuja (Om Puri). The contract is finally awarded to a third person. By chance Vinod and Sudhir find out that Tarneja has murdered D'Mello...", Comedy  Drama,Jaane Bhi Do Yaaro (1983) ,132.0,315420115.0,458502470.0,Hindi,Ranjit Kapoor-Satish Kaushik-4 more credits,"
Kundan Shah ",Naseeruddin Shah-Ravi Baswani-Bhakti Barve,8.5
Thalapathi (1991) ,1991-11-25,"India
","https://m.media-amazon.com/images/M/MV5BZGE5NzVjNTEtMGUwYi00YzU0LWIyYTctNDc0ZjMxNGNhYzg5XkEyXkFqcGdeQXVyMjMwODI3NDE@._V1_UY67_CR0,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi1744026649?playlistId=tt0101649,"    Surya (Rajnikanth) is an orphan raised in a slum. He finds a friend in the local Godfather (Mamooty). They rule the town and forms a parallel government. Things are well until new district collect(Aravind Swami), step -brother of Surya takes charge. Surya finds his mom (Sreevidya) and decides to surrender.", Action  Crime  Drama,Thalapathi (1991) ,,480966798.0,378404215.0,Hindi,Mani Ratnam-Mani Ratnam-1 more credit,"
Mani Ratnam ",Rajinikanth-Mammootty-Shobana,8.6
Andhadhun (2018) ,2018-10-5,"India
","https://m.media-amazon.com/images/M/MV5BZWZhMjhhZmYtOTIzOC00MGYzLWI1OGYtM2ZkN2IxNTI4ZWI3XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_UY67_CR0,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi3468409369?playlistId=tt8108198,    Akash a blind pianist is preparing for a London concert.Sophie's scooter bumps into Akash and upon finding he a pianist she takes him to her restaurant Franco's run by her father and offers him a job.Akash meets 70s actor Pramod Sinha at the restaurant who asks him to do a private concert of his songs at his residence to surprise his wife Simi. Next Day upon reaching his house a shocking surprise is waiting for Akash., Crime  Thriller,Andhadhun (2018) ,139.0,413114828.0,418696979.0,Hindi,Arijit Biswas-Yogesh Chandekar-4 more credits,"
Sriram Raghavan ",Ayushmann Khurrana-Tabu-Radhika Apte,8.5
Guide (1965) ,1965-02-6,"India
","https://m.media-amazon.com/images/M/MV5BMDM4NzM3ZGEtMTgwOC00NzQzLThkYWMtMWUyNTgzNGEwNTM1XkEyXkFqcGdeQXVyNjc5Mjg4Nzc@._V1_UX45_CR0,0,45,67_AL_.jpg",,"    After being released from prison for Forgery and Theft, multi-linguist Raju (Dev Anand) reflects on his life as a Guide; his meeting with the daughter of a prostitute, Rosie (Waheeda Rehman), who was unhappily married to Marco (Kishore Sahu) and wants to take up acting and dancing as a career. Rosie separates and moves in with Raju and his mother (Leela Chitnis). They both re-locate and with Raju's encouragement, she succeeds in an acting and dancing career resulting in both becoming very wealthy. He then succumbs to gambling and alcohol and forges Rosie's signature. He is arrested, tried in court, found guilty and imprisoned. Now discharged from prison, he changes his mind about returning home to his mother and decides to go elsewhere and start afresh - a decision that will alter his life and way of thinking forever.", Drama  Musical  Romance,From the pen of Pearl S. Buck - India - its mysteries of a million years past. A man and a woman and the passions of today!        ,139.0,330443425.0,474275325.0,Hindi,Vijay Anand-Vijay Anand-2 more credits,"
Vijay Anand ",Dev Anand-Waheeda Rehman-Leela Chitnis,8.5
Chupke Chupke (1975) ,1975-04-11,"India
","https://m.media-amazon.com/images/M/MV5BMjAzMjMzMzU2N15BMl5BanBnXkFtZTgwMDkxOTE3NDE@._V1_UY67_CR2,0,45,67_AL_.jpg",,"    Raghav brags that he can smell a rat or an impersonator automatically, and Dr. Parimal Tripathi decides to take him on - result: funny family slapstick comedy, with a dose of pure Hindi and Urdu thrown in, especially the dialogue delivery by Om Prakash, Dharmendra, and Amitabh Bachchan. Notable songs are :Sare ga ma, ma sa re ga ma....""; ""Ab ke sajan sawan me, aag lagegi badan mein, ghata barshegi, magar tarsegi nazar, mil na sakenghe do mahn ek hi aagan mein...""; ""Chupke chupke chal di purvaiya, basuri bajaike raas rachaye daiya re daiya, chupke..."".", Comedy  Drama  Romance,Chupke Chupke (1975) ,146.0,352700523.0,360962138.0,Hindi,Upendranath Ganguly-D.N. Mukherjee-3 more credits,"
Hrishikesh Mukherjee ",Dharmendra-Sharmila Tagore-Amitabh Bachchan,8.4
Uri: The Surgical Strike (2019) ,2019-01-11,"India
","https://m.media-amazon.com/images/M/MV5BMWU4ZjNlNTQtOGE2MS00NDI0LWFlYjMtMmY3ZWVkMjJkNGRmXkEyXkFqcGdeQXVyNjE1OTQ0NjA@._V1_UY67_CR0,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi3240999449?playlistId=tt8291224,"    Indian army special forces carries a covert operation, avenging the killing of fellow army men at their base by a terrorist group.", Action  Drama  War,Uri: The Surgical Strike (2019) ,,450000000.0,341680204.0,Hindi,Aditya Dhar,"
Aditya Dhar ",Vicky Kaushal-Paresh Rawal-Yami Gautam,8.7
Thani Oruvan (2015) ,2015-08-28,"India
","https://m.media-amazon.com/images/M/MV5BMzgwZjcyZjItN2Q5Mi00NTM3LTg0YmMtMmQ2NmVmY2Y4MzY0XkEyXkFqcGdeQXVyOTA0NTIzNzU@._V1_UX45_CR0,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi369604633?playlistId=tt4987556,"    Thoroughly frustrated with Industrialists and Politicians ruining the nation by denying the availability of cheap medicines, IPS officer Mithran is on a self-conceived quest to find the head of this medicine-mafia to channel all his anger towards him. But the ultimate villain, Siddharth Abhimanyu, who is also a decorated Scientist proves to be a ruthless and indomitable adversary.", Action  Crime  Thriller,The power of one.        ,,336903128.0,321893724.0,Hindi,A.N. Balakrishnan-Mohan Raja-3 more credits,"
Mohan Raja (as M. Raja)    ",Jayam Ravi-Arvind Swamy-Nayanthara,8.5
Kannathil Muthamittal (2002) ,2002-04-24,"India
","https://m.media-amazon.com/images/M/MV5BZmE2N2YyODYtNjk3MC00NTU1LTgwOTUtZmRmN2JkMWFlZTZjXkEyXkFqcGdeQXVyOTA0NTIzNzU@._V1_UY67_CR4,0,45,67_AL_.jpg",,"    Dhileepan and Shyama are Tamil-speaking residents of Mankulam, Sri Lanka, who get married with the blessings of their respective families. After the marriage, Shyama confides that she would like to be a mother of eight children, but she is stunned when her husband tells her that he cannot father any children until there is peace between the mainstream and the Tamils in this country. Nevertheless, they do get intimate, which results in Shyama getting pregnant. Dhileepan goes into hiding because of his connections with the Tamil Tigers, while Shyama returns to her father's house. A storm threatens their village, and they are forced to flee to a Refugee Camp in Rameswaram, India. Alone, without any support, Shyama gives birth to a girl, leaves her, and returns to Sri Lanka to be with her husband. The child gets noticed by noted Tamil author Thiruchelvan, who lives with his sister, her husband, and their son and writes books under the pen-name of Indra, who is actually an attractive TV ...", Action  Drama  War,Kannathil Muthamittal (2002) ,123.0,363556308.0,321118511.0,Hindi,Sujatha Rangarajan-Mani Ratnam-2 more credits,"
Mani Ratnam ",Madhavan-Simran-Keerthana Parthiepan,8.5
Gully Boy (2019) ,2019-02-14,"India
","https://m.media-amazon.com/images/M/MV5BZDkzMTQ1YTMtMWY4Ny00MzExLTkzYzEtNzZhOTczNzU2NTU1XkEyXkFqcGdeQXVyODY3NjMyMDU@._V1_UY67_CR3,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi3878599193?playlistId=tt2395469,"    ""Gully Boy"" is a film about a 22-year-old boy ""Murad"" from a ghetto in Mumbai, India. The son of a driver, his parents worked hard to get him educated so that he could have a white collar job. Meanwhile, Murad realizes his calling to be a rapper. Authentic Hip Hop in India is a recent phenomenon and like anywhere else in the world, is rising from the streets. Art is a distant dream for the colonized poor of India and this story is about Murad's journey from realizing his love for rap and chasing his dream to inadvertently transcending his class. The film showcases street rap from the crevices of Mumbai's by lanes. The poetry is conscious of the city's socio-economic fabric and highlights the challenges faced by the disenfranchised youth in the minority population.", Drama  Music,Apna Time Aayega!        ,123.0,270422745.0,341739659.0,Hindi,Zoya Akhtar-Reema Kagti-2 more credits,"
Zoya Akhtar ",Ranveer Singh-Alia Bhatt-Siddhant Chaturvedi,8.4
Khosla Ka Ghosla! (2006) ,2006-09-22,"India
","https://m.media-amazon.com/images/M/MV5BZTg2YWFkOGMtYWExMy00YmFiLTk2YjctNTAzZDk5MjdhMzdlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY67_CR1,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi3143678745?playlistId=tt0466460,"    K.K. Khosla (Anupam Kher) is a middle class man living in New Delhi. He is a simple man with simple tastes. The plot starts with a scene where Khosla dreams about his death. The irony is that nobody cares about his death; instead his children & neighbours are more interested in their materialistic needs. One early morning in Delhi, Khosla wakes up and plans to go to the site where he has purchased a plot to build his house. He is accompanied by his wife, eldest son Bunty (Ranvir Shorey), second son Chironji Lal Khosla (Parvin Dabas), and his daughter. When they reach the spot they find that the site has been occupied by someone else and on further investigation find that it has been captured by a property usurping nexus headed by a man named Kishan Khurana (Boman Irani). Khurana demands Rs. 15 lakhs to vacate the plot, which Khosla refuses to give. Bunty gathers few local strongmen and forcefully destroys the walls and re-occupies the plot. But Khurana has the police on his side and ...", Comedy  Crime  Drama,Khosla Ka Ghosla! (2006) ,,226981750.0,416782698.0,Hindi,Jaideep Sahni,"
Dibakar Banerjee ",Anupam Kher-Boman Irani-Parvin Dabas,8.3
Apur Sansar (1959) ,1959-05-1,"India
","https://m.media-amazon.com/images/M/MV5BOTEyZmIyOWEtNjBkOS00ZjcyLThiMTEtZWJhNTI1OTRjMDk4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR1,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi3114774553?playlistId=tt0052572,"    Apu is a jobless former student dreaming vaguely of a future as a writer. An old college friend talks him into a visit up-country to a village wedding. This changes his life, for when the bridegroom turns out to be mad, Apu's friend asks him to become the husband. After initial revulsion at the idea, Apu agrees. Apu takes his exquisite bride, Aparna, back to Calcutta. But Aparna dies while giving birth, Apu leaves Calcutta, crazy with grief, and his son Kajal is left abandoned with his wife's parents. Only after a long period of total indifference to worldly responsibilities, does Apu become capable of returning to the world.", Drama,Apur Sansar (1959) ,105.0,303771193.0,366429516.0,Hindi,Bibhutibhushan Bandyopadhyay-Satyajit Ray,"
Satyajit Ray ",Soumitra Chatterjee-Sharmila Tagore-Alok Chakravarty,8.3
Vada Chennai (2018) ,2018-10-17,"India
","https://m.media-amazon.com/images/M/MV5BZjU3MWM1MDYtZGE2Mi00MTk1LWJlOWEtNmJlN2RkOTBjYWVjXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_UY67_CR2,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi1211153177?playlistId=tt5959980,    A young carrom player in north Chennai becomes a reluctant participant in a war between two warring gangsters., Drama,Vada Chennai (2018) ,105.0,214785010.0,469689413.0,Hindi,Vetrimaaran,"
Vetrimaaran ",Dhanush-Ameer Sultan-Radha Ravi,8.7
Dhuruvangal Pathinaaru (2016) ,2016-12-29,"India
","https://m.media-amazon.com/images/M/MV5BZTQ1YTI4NzYtODJmZi00NTcwLWE3ZWItODZiZThhZWJiNTI4XkEyXkFqcGdeQXVyODE0NjUxNzY@._V1_UX45_CR0,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi1752348697?playlistId=tt6380520,"    Deepak is an retired police officer. He meets an young man who is interested in joining IPS. The young guy asks about the case of a mystry killer in which deepak lost his leg and his career. Thus he explains about the unsolved mystry case. But in the end the case is solved by the young man, and deepak meets his ultimate end.", Action  Crime  Mystery  Thriller,Every Detail Counts        ,,357195047.0,323320656.0,Hindi,Karthick Naren,"
Karthick Naren ",Rahman-Prakash Raghavan-Sharath Kumar,8.5
Peranbu (2018) ,2019-02-1,"India
","https://m.media-amazon.com/images/M/MV5BMzA4MTQ0YTQtMzc4YS00NzAzLTllY2QtM2JhYjhjYmJmYjBjXkEyXkFqcGdeQXVyMzQ5Njc3NzU@._V1_UX45_CR0,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi3503209241?playlistId=tt7738784,"    Peranbu is an upcoming Indian Tamil drama film written and directed by Ram and produced by P. L. Thenappan. The film features Mammootty and Anjali in the lead roles. Featuring music composed by Yuvan Shankar Raja, the film began production in early 2016.", Drama,Peranbu (2018) ,,456029427.0,241476226.0,Hindi,Anjana Krishnakumar-Ram,"
Ram, Amudhavan Karuppiah (co-director)            |
1 more credit »
    ",Mammootty-Sadhana-Anjali,9.5
