title1,release_date,country,poster,link_trailer,story,final_genres,taglines,runtime_final,earning,final_budget,language,final_writers,director,final_actors,imdb
Lakshya (2004) ,2004-06-18,"India
","https://m.media-amazon.com/images/M/MV5BY2Y0NjY5ZTctZWMzNC00MDQ4LTkyMWUtOGZkMzk4NWNhYWI5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY67_CR0,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi2756229145?playlistId=tt0323013,"    Karan is a lazy good-for-nothing who lives on the generated income of his father and elder brother at their family business. Karan's days: hang out with buddies and romance a woman named Romi. When he watches an action movie, he decides to enlist in the army with a friend, but basic training proves to be too much of a bother and he shortly abandons it, thus making him lose respect on the home front. Romi also stops respecting him. Karan decides he must re-join the army and show his family and Romi that he, too, is focused upon the path he has to take in this lifetime, but will he be resilient enough to carry out this task?", Action  Drama  Romance  War,It took him 24 years and 18000 feet to find himself        ,186.0,289065082.0,300000000.0,Hindi,Javed Akhtar-Javed Akhtar-2 more credits,"
Farhan Akhtar ",Amitabh Bachchan-Hrithik Roshan-Preity Zinta,7.9
Bahubali: The Beginning (2015) ,2015-07-10,"India
","https://m.media-amazon.com/images/M/MV5BYWVlMjVhZWYtNWViNC00ODFkLTk1MmItYjU1MDY5ZDdhMTU3XkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_UY67_CR0,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi3834163993?playlistId=tt2631186,"    When Sanga and her husband, part of a tribe living around the province of Mahismathi, save a drowning infant, little do they know the background of the infant or what the future holds for him. The kid grows up to as Shivudu, a free-spirit wanting to explore the mountains and in the process learns of his roots and then realizes the whole purpose of his life and ends up confronting the mighty Bhallala Deva!", Action  Drama,India's Biggest Motion Picture        ,159.0,469598144.0,204600305.0,Telugu,Vijayendra Prasad-S.S. Rajamouli-4 more credits,"
S.S. Rajamouli ",Prabhas-Rana Daggubati-Ramya Krishnan,8.1
Border (1997) ,1997-06-13,"India
","https://m.media-amazon.com/images/M/MV5BNWYwYmExOWQtYzNkOS00NWY5LWE4NTEtYTcwY2FiYmQ0OTg5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY67_CR3,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi3625696025?playlistId=tt0118751,"    The year is 1971 when the Pakistani Army is at war with the Indian Soldiers. The Indian battalion is posted in Longewala region in Punjab and are just 150 in number while the Pakistani Army consists of 2000 armed soldiers with tanks. This movie is a landmark in Hindi Cinema and watch how the drama unfolds and the Indian soldiers fight for the pride of their motherland. Commendable performances from Jackie Shroff, Sudesh Berry, Sunil Shetty and Sunny Deol and excellent acting by Akshay Khanna.", Action  Drama  History  War,Men At Their Best. War At Its Worst.        ,159.0,383814246.0,439098615.0,Hindi,J.P. Dutta-O.P. Dutta,"
J.P. Dutta ",Sunny Deol-Jackie Shroff-Sunil Shetty,7.9
K.G.F: Chapter 1 (2018) ,2018-12-21,"India
","https://m.media-amazon.com/images/M/MV5BNDIwMDYxY2UtM2NhYy00NzkwLThhNDYtY2IxZGZhNjYyNmM2XkEyXkFqcGdeQXVyNDY5MTUyNjU@._V1_UY67_CR2,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi1406646809?playlistId=tt7838252,"    The movie dates back to 1951. Here, two incidents take place; The birth of the hero and other in the Kolar Gold Fields (K.G.F) they get gold. The hero is brought up in poverty. When he is very young itself he goes to Mumbai to become a mafia don. His mother's wish was to see her son rich and powerful. After being in Mumbai for some time he returns back. Will he be able to become a Don? Will he set his people free from the age old slavery? Forms the plot of the movie?", Action  Drama,K.G.F: Chapter 1 (2018) ,159.0,478795366.0,447150035.0,Hindi,Prashanth Neel,"
Prashanth Neel ",Yash-Srinidhi Shetty-Ramachandra Raju,8.4
Vettaiyaadu Vilaiyaadu (2006) ,2006-08-25,"India
","https://m.media-amazon.com/images/M/MV5BODBlMDg4NTctMGUwNC00OTIyLWFmMjYtODEwM2ViZWEwNjAyXkEyXkFqcGdeQXVyODE0NjUxNzY@._V1_UY67_CR6,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi3355818009?playlistId=tt0455829,"    Raghavan (Kamal Hassan), a top cop from the Tamil Nadu Police Department is faced with a series of rapes and brutal murders including those of his boss's family. The culprits are found soon enough but prove extremely evasive while they continue their murderous legacy undeterred.", Action  Crime  Thriller,Welcome to the best Tamil thriller of all time...                ,159.0,240000000.0,418255610.0,Hindi,Dasaradh-Meghana Karthik-2 more credits,"
Gautham Menon ",Kamal Haasan-Jyothika-Prakash Raj,8.0
Gangaajal (2003) ,2003-08-29,"India
","https://m.media-amazon.com/images/M/MV5BYjRjOWViZTgtYjA4Ny00MWJiLTkxYzktMzdlOGRmMWYwOTdjXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY67_CR2,0,45,67_AL_.jpg",,"    An SP Amit Kumar who is given charge of Tezpur police station in Bihar. The area is full of corruption, inefficiency, bribery, nepotism, favoritism and crime with help from the local police. Gradually Amit realizes that the local politician Sadhu Yadav is the one who benefits the most out of it. Amit arrests Sunder Yadav, Sadhu's son. While Sunder is released soon, some police officers, get frustrated with the system, and pour acid into the eyes of two of Yadav's men, blinding them. A hue and cry is raised by the media, crime almost comes to a standstill, and the police are regarded with respect. SP Amit Kumar must now put an end to this kind of situation.", Action  Crime  Drama,Gangaajal (2003) ,,465977136.0,337640032.0,Hindi,Prakash Jha,"
Prakash Jha ",Ajay Devgn-Gracy Singh-Mohan Joshi,7.9
Ab Tak Chhappan (2004) ,2004-02-27,"India
","https://m.media-amazon.com/images/M/MV5BMzNkYzEyMDItNWI1OS00YjYxLTljNDUtYzZkYWFhMzdjNjg1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY67_CR1,0,45,67_AL_.jpg",,"    An honest cop named Sadhu Agashe makes a name for himself by killing criminals in sting operations instead of locking them up in prison. The film follows his method of working, gives an insight into the Mumbai Police Crime Branch, and Agashe's alleged connection with the underworld.", Action  Crime  Drama  Thriller,"Doctors cure, engineers build, I kill        ",,334957922.0,274699701.0,Hindi,Sandeep Srivastava-Sandeep Srivastava,"
Shimit Amin ",Nana Patekar-Revathy-Yashpal Sharma,7.9
Johnny Gaddaar (2007) ,2007-09-28,"India
","https://m.media-amazon.com/images/M/MV5BNDE4MmU1YTktMzY1OS00NWQ4LWExZmYtZjI3MzJjNGIxZTcxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY67_CR0,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi3248011801?playlistId=tt1077248,"    Plain-clothed police officers, on patrol in a police van in Mumbai's Khar Danda area, recount the story of five crooks: Sheshadari, Shiva, Prakash, Vikram, Shardul, and their Police Inspector friend, Kalyan. The tale revolves around a bag containing 2.5 Crore Rupees that goes missing - resulting in lies, deception, betrayal, and death.", Crime  Drama  Mystery  Thriller,Johnny Gaddaar (2007) ,,255022902.0,289297951.0,Hindi,Vinay Choudary-Sriram Raghavan,"
Sriram Raghavan ",Dharmendra-Rimi Sen-Ashwini Kalsekar,7.9
English Vinglish (2012) ,2012-10-5,"India
","https://m.media-amazon.com/images/M/MV5BMjQ5YWVmYmYtOWFiZC00NGMxLWEwODctZDM2MWI4YWViN2E5XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY67_CR1,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi3563109145?playlistId=tt2181931,"    The story of a quiet, sweet tempered housewife who endures small slights from her well educated husband and daughter everyday because of her inability to speak and understand English. She is resourceful and open-minded but somehow these traits don't get noticed by them. Then one day on a trip to visit her sister in Manhattan she decides to enroll in an English Learners class and meets a host of new people who teach her to value herself beyond the narrow perspective of her family.", Comedy  Drama  Family,English Vinglish (2012) ,,285753255.0,485021397.0,Hindi,Gauri Shinde,"
Gauri Shinde ",Sridevi-Adil Hussain-Mehdi Nebbou,7.9
Manam (2014) ,2014-05-23,"India
","https://m.media-amazon.com/images/M/MV5BMTYzMjc3NzEzMV5BMl5BanBnXkFtZTgwNzI3NzU4MzE@._V1_UY67_CR2,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi4164467225?playlistId=tt2926068,    Radha (Naga Chaitanya) and Krishna (Samantha) are a married couple with a kid Bittu in early 1980's. They die in an accident. Bittu (Nagarjuna) grows up and happens to see reincarnation of his father and his mother as youngsters. The rest of the story is all about how Bittu tries to unite these two youngsters. And there is another twist in the tale for which you must watch the movie on the big screen!, Comedy  Drama  Fantasy,Manam (2014) ,,409141386.0,241726829.0,Hindi,Harshavardhan-Vikram K. Kumar-1 more credit,"
Vikram K. Kumar ",Akkineni Nageshwara Rao-Nagarjuna Akkineni-Naga Chaitanya Akkineni,8.0
Okkadu (2003) ,2003-01-15,"India
","https://m.media-amazon.com/images/M/MV5BZmJiZTIwYzktZDQyMi00OWYzLTliZDEtOTAzYmNjNjZjNTllXkEyXkFqcGdeQXVyMjMyNjkwMTY@._V1_UY67_CR1,0,45,67_AL_.jpg",,"    A kabaddi player (Mahesh) comes to Kurnool for match, there he rescues a girl from village goon Obul Reddy (Prakash raj) and takes her to his home and makes arrangements for her higher studies in a foreign country. But she refuses to leave him. Is romance on the cards?", Action  Romance,Okkadu (2003) ,,308549153.0,238508060.0,Hindi,Gunasekhar,"
Gunasekhar ",Mahesh Babu-Bhoomika Chawla-Prakash Raj,8.1
Ulidavaru Kandanthe (2014) ,2014-03-28,"India
","https://m.media-amazon.com/images/M/MV5BMTc3ODUxODg3MV5BMl5BanBnXkFtZTgwMDc0MDY4MTE@._V1_UX45_CR0,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi4066621721?playlistId=tt3394420,"    Malpe is a small fishing town on the Arabian Coast, located 6 kilometers to the west of the temple town of Udupi. Malpe's beaches are washed clean everyday by the sea. The waves ensure that nothing gets left behind on the sands. But then, the waves cannot reach everything. It is the time of the year when Udupi and its surroundings are decked up to celebrate Sri Krishna Janmaashtami (The Birth of Lord Krishna). Men and children walk the streets dressed up as characters from mythology. Teams painted as tigers are seen dancing to drum beats all around the town. But violence seems to be brewing in Malpe this Krishna Janmaashtami and it is going change the lives of the ones' involved forever.", Action  Romance,Ulidavaru Kandanthe (2014) ,154.0,242026297.0,432834897.0,Hindi,Rakshit Shetty-Rakshit Shetty,"
Rakshit Shetty ",Kishore Kumar G.-Rakshit Shetty-Thara,8.4
Dabba (2013) ,2013-09-20,"India
","https://m.media-amazon.com/images/M/MV5BMTUwMzc1NjIzMV5BMl5BanBnXkFtZTgwODUyMTIxMTE@._V1_UY67_CR0,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi2695342873?playlistId=tt2350496,"    The film, set in Mumbai, revolves around a mistaken delivery by the Dabbawalas (lunchbox service) of Mumbai, which leads to a relationship between Saajan, a lonely widower close to retirement, and Ila, an unhappy housewife, as they start exchanging notes through the daily lunchbox.", Drama  Romance,Can you fall in love with someone you have never met?                ,104.0,354924160.0,422389234.0,Hindi,Ritesh Batra-Vasan Bala,"
Ritesh Batra ",Irrfan Khan-Nimrat Kaur-Nawazuddin Siddiqui,7.8
Rock On!! (2008) ,2008-08-29,"India
","https://m.media-amazon.com/images/M/MV5BMTM2NjIwODc4N15BMl5BanBnXkFtZTcwMDgwMzM4MQ@@._V1_UY67_CR0,0,45,67_AL_.jpg",,"    Sakshi Shroff, the lonely and neglected wife of busy banking executive, Aditya, decides to give him a surprise on his birthday on July 22nd, but ends surprising him not once but multiple times. While Aditya is thrilled to know that both are going to be parents, and did appear surprised by the celebration, bitterness creeps in when he notices that Sakshi had also invited some ghosts (Rob Nancy and Kedar Zaveri) from his past. This gives rise to unpleasant memories involving a failed music group 'Magik' that he had associated with about a decade ago. Sakshi will soon find out why Aditya is displeased with her; why the music group broke up, ending in violence and acrimony especially between her husband and his former friend, Joseph Mascarenhas; why they cannot perform together ever again; as well as contemplate moving out and living with her mom.", Drama  Music,Live your dream        ,,348343629.0,299490376.0,Hindi,Farhan Akhtar-Pubali Chaudhuri-1 more credit,"
Abhishek Kapoor ",Arjun Rampal-Farhan Akhtar-Luke Kenny,7.8
Stanley Ka Dabba (2011) ,2011-05-13,"India
","https://m.media-amazon.com/images/M/MV5BZWVlMzlmOWItYTgwMi00MjExLTgwNDItNWI4YzY2MTgzMWJlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY67_CR1,0,45,67_AL_.jpg",,"    Stanley studies in an all-boys Holy Family High School in Andheri East, Mumbai. While his class-mates bring their very own Tiffin-boxes, Stanley does not do so on the pretext that his mother is away, and shares food with Aman Mehra and others much to the chagrin of the Hindi Teacher, Babubhai Verma, who not only cajoles fellow-teachers, but virtually forces children, to share their food with him. With extra classes being imposed on both students and teachers, and the recess-breaks being doubled, parents are also forced to pack more food in lunch-boxes. When students evade Babubhai and continue sharing food with Stanley, he calls the latter aside and warns him that he cannot attend school until and unless he brings his own food. Watch what impact this has on Stanley, teachers, and his class-mates.", Comedy  Drama  Family,A little story with a BIG heart        ,96.0,492739364.0,464222648.0,Hindi,Amole Gupte,"
Amole Gupte ",Partho A. Gupte-Numaan Sheikh-Abhishek Reddy,7.9
Don (1978) ,1978-05-12,"India
","https://m.media-amazon.com/images/M/MV5BYTYwZjA0NmMtZWJmYy00ZTZlLWEzZTEtZGJhYTQ1NzFkNDQ3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX45_CR0,0,45,67_AL_.jpg",,"    A ruthless gangster named Don is killed during a scuffle with the police. Since only DSP Desilva knows of this incident, he recruits another person named Vijay who is a spitting image of Don. Vijay is planted in Don's place in Don's gang and DeSilva has a plan to nab the entire gang in this way. But when Desilva dies during a raid, the secret that Vijay is not Don is also buried with him. Now Vijay is on the run - from the police and the criminal gang - and has to find the last piece of evidence to prove his real identity before it is too late.", Action  Crime  Thriller,Don (1978) ,96.0,50000000.0,480557022.0,Hindi,Javed Akhtar-Javed Akhtar-4 more credits,"
Chandra Barot ",Amitabh Bachchan-Zeenat Aman-Pran,7.8
Udta Punjab (2016) ,2016-06-17,"India
","https://m.media-amazon.com/images/M/MV5BNGQ4MTk2NjQtYmYzMy00MWZkLWE1YTktYWVmNWU2NjNmMzlkXkEyXkFqcGdeQXVyNTE2MzU4OTA@._V1_UY67_CR0,0,45,67_AL_.jpg",https://www.imdb.com/video/imdb/vi3519200025?playlistId=tt4434004,"    What on earth can a rock star, a migrant laborer, a doctor and a cop possibly have in common? Simple, Punjab! 4 lives, 1 connection - 'Udta Punjab' takes you on a trip like never before. Shahid Kapoor, Kareena Kapoor, Alia Bhatt and Diljit Dosanjh play characters from different walks of life, fighting the menace of drugs in their own way. The film journeys into the artificial highs and the real lows that they face while treading the paths fraught with mortal dangers. But above all, Udta Punjab is about the famed Punjabi spirit, that despite being fully down, has the audacity of looking you in the eye and saying - Drugs di maa di!", Action  Crime  Drama,Udta Punjab (2016) ,,273312268.0,225310082.0,Hindi,Sudip Sharma-Abhishek Chaubey-1 more credit,"
Abhishek Chaubey ",Shahid Kapoor-Alia Bhatt-Kareena Kapoor,7.8
Mr. India (1987) ,1987-05-25,"India
","https://m.media-amazon.com/images/M/MV5BNjJjNjEyOTEtNDhhZi00MDM1LWExMTYtZmNjNDE1OTQ2OTE0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY67_CR2,0,45,67_AL_.jpg",,"    Orphan Arun Verma utilizes his adult-hood in raising orphan children, in a house where he is unable to make ends as well as fulfilled the living expenses. International criminal and smuggler, Mogambo, wants his house to store arms and ammunition and thus give him a time-frame to vacate. Arun then decides to arrange for a tenant named Seema Sohni, a local newspaper journalist, to occupy the top flat of the house. Mogambo's men then decides to force Arun to vacate by targeting him and the children. Eventually Arun's dad's friend, Professor Sinha, introduces him to a gadget that will make him invisible, he tries this device and becomes invisible only to retaliates on Mogambo's men calling himself, ""Mr. India"". He also becomes popular among the people by assisting the ones who are subjected to injustice, no one knows who is this, ""Mr. India"", except Jugal. Things comes to a boil when one of Arun's children is killed while the others, Seema and he are abducted by Mogambo, who threatens to ...", Action  Comedy  Drama  Family  Musical  Sci-Fi,Mr. India (1987) ,,404015578.0,315954188.0,Hindi,Javed Akhtar-Salim Khan,"
Shekhar Kapur ",Anil Kapoor-Sridevi-Amrish Puri,7.8
