id,name,bday,location,final,p
1554,Michael J. Fox,1961-06-09,Edmonton,upload.wikimedia.org/wikipedia/commons/thumb/8/83/Michael_J._Fox_2012_%28cropped%29_%282%29.jpg/330px-Michael_J._Fox_2012_%28cropped%29_%282%29.jpg,"Michael Andrew Fox OC (born June 9, 1961), known professionally as Michael J. Fox, is a Canadian-American actor, comedian, author, and film producer with a film and television career spanning from the 1970s.[2] He starred in the Back to the Future trilogy where he portrayed Marty McFly. Other notable roles have included his portrayal of Alex P. Keaton on the American sitcom Family Ties (1982–1989) and Mike Flaherty on the ABC sitcom Spin City (1996–2000). He has won five Primetime Emmy Awards, four Golden Globe Awards, a Grammy Award and two Screen Actors Guild Awards."
1555,Justice Smith,1995-08-09,,,"Justice Elio Smith (born August 9, 1995) is an American actor, best known to international audiences for his role as Franklin Webb in the 2018 science fiction film Jurassic World: Fallen Kingdom. Smith will star in the upcoming 2019 films, Pokémon Detective Pikachu, alongside Ryan Reynolds and All the Bright Places, alongside Elle Fanning."
1556,Brian Gunn,1970-08-23,,,"Gunn  has four brothers —  filmmaker James,[1] actor Sean,[2] actor and political writer Matt,[2] producer and former Executive Vice President of Artisan Entertainment Patrick[3] — and a sister, Beth.[4] Their parents are Leota[5] and James F. Gunn, who is a retired partner and corporate attorney with the law firm Thompson Coburn in St. Louis.[6] Gunn and his brothers all attended Saint Louis University High School, where he graduated in 1988.[2]"
1557,Charles Chaplin (as Charlie Chaplin),1970-08-23,,,
1558,Adrian Grunberg,,Film director,,"Grunberg is known for directing and co-writing the film Get the Gringo.  Grunberg has also worked as first assistant director on such films as Wall Street: Money Never Sleeps, Edge of Darkness and Apocalypto. In August 2018, Grunberg was announced as the director for Rambo V: Last Blood.[2]"
1559,Lee Unkrich,1967-08-08,"Cleveland, Ohio",upload.wikimedia.org/wikipedia/commons/0/05/Lee_Unkrich_cropped_2009.jpg,"After co-directing Toy Story 2, Monsters, Inc. and Finding Nemo, Unkrich made his solo directorial debut with Toy Story 3 in 2010, and most recently directed Coco in 2017, both of which won the Academy Award for Best Animated Feature."
1560,Bill Nighy,1949-12-12,Caterham,upload.wikimedia.org/wikipedia/commons/thumb/4/41/Premios_Goya_2018_-_Bill_Nighy_02.jpg/330px-Premios_Goya_2018_-_Bill_Nighy_02.jpg,"Nighy became widely known for his performance as Billy Mack in Love Actually. Other notable roles in cinema include his portrayal of Davy Jones in Pirates of the Caribbean film series, as well as Viktor in the Underworld film series."
1561,Lakshmi Menon,,,,
1562,Ed Harris,1950-11-28,"Englewood, New Jersey",upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Ed_Harris_by_Gage_Skidmore.jpg/330px-Ed_Harris_by_Gage_Skidmore.jpg,"In television, Harris is notable for his roles as Miles Roby in the miniseries Empire Falls (2005) and as United States Senator John McCain in the television movie Game Change (2012), the latter of which earned him the Golden Globe Award for Best Supporting Actor – Series, Miniseries or Television Film. He currently stars as the Man in Black in the HBO science fiction-western series Westworld (2016–present), for which he earned a nomination for the Primetime Emmy Award for Outstanding Lead Actor in a Drama Series."
1563,Sujoy Ghosh,,Bengali,upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Sujoy_dvd_launch_kahaani.jpg/330px-Sujoy_dvd_launch_kahaani.jpg,"Sujoy Ghosh is an Indian film director, actor and screenwriter.[1] He has directed  Jhankaar Beats (2003), Home Delivery: Aapko... Ghar Tak (2005), Aladin (2009), Kahaani (2012) and Kahaani 2 (2016)[2][3] and Badla (2019)."
1564,Divyendu Sharma,1983-06-19,Delhi,upload.wikimedia.org/wikipedia/commons/b/b1/Trailer_and_poster_launch_of_%E2%80%982016_The_End%E2%80%99_05.jpg,Divyendu Sharma (born 19 June 1983) is an Indian film actor best known for his roles of Nishant aka Liquid in Pyar Ka Punchnama and Narayan Sharma in Toilet: Ek Prem Katha. His role of Tripathi in the film Batti Gul Meter Chalu and Munna in 2018 Amazon Prime Video series Mirzapur are well appreciated too.
1565,Neeraj Ghaywan,,,,"Neeraj Ghaywan is an award-winning Indian film screenwriter and director, known for his work in Hindi Cinema."
1566,Takuya Kimura,1972-11-13,,,"Takuya Kimura (木村 拓哉, Kimura Takuya, born November 13, 1972), also known as Kimutaku, is a Japanese actor, singer, radio personality.  He is regarded as a Japanese icon after achieving success as an actor. He was also a popular member of SMAP, one of the best-selling boy bands in Asia."
1567,Klaus Wennemann,,,,"Wenneman was born in Oer-Erkenschwick, North Rhine-Westphalia. He is perhaps best known for his leading roles as the Chief Engineer, (the LI), in Das Boot, and as Faber in the TV series Der Fahnder. As an actor, he appeared in nine movies, and ten television series. He died in Bad Aibling, Bavaria, at the age of 59, from lung cancer. He was married to the same woman from 1963 until his death; they had two sons together."
1568,Michael Mann,,,,"Michael Kenneth Mann (born February 5, 1943) is an American film director, screenwriter, and producer of film and television who is best known for his distinctive brand of stylized crime drama.[1] His most acclaimed works include the crime films Thief (1981), Manhunter (1986), Heat (1995), and Collateral (2004), the historical drama The Last of the Mohicans (1992), and the docudrama The Insider (1999). He is also known for his role as executive producer on the popular TV series Miami Vice (1984–89), which he later adapted into a 2006 feature film."
1569,Lillete Dubey,1953-09-07,,upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Lillete_dubey.jpg/333px-Lillete_dubey.jpg,"Lillete Dubey (born 7 September 1953) is an Indian actress who has worked in theatre, television and Hindi films.[3]"
1570,Frank Abagnale Jr.,1948-04-27,"Bronxville, New York",upload.wikimedia.org/wikipedia/commons/thumb/0/00/Frank_W._Abagnale_in_2008.jpg/330px-Frank_W._Abagnale_in_2008.jpg,"Frank William Abagnale Jr. (/ˈæbəɡneɪl/; born April 27, 1948) is an American security consultant known for his background as a former con man, check forger, and impostor between the ages of 15 and 21. He became one of the most notorious impostors,[1] claiming to have assumed no fewer than eight identities, including an airline pilot, a physician, a U.S. Bureau of Prisons agent, and a lawyer. He escaped from police custody twice (once from a taxiing airliner and once from a U.S. federal penitentiary) before he was 21 years old.[2] He served less than five years in prison before starting to work for the federal government. He is  currently a consultant and lecturer for the FBI academy and field offices. He also runs Abagnale & Associates, a financial fraud consultancy company."
1571,Dev Anand,1923-09-26,Shakargarh,upload.wikimedia.org/wikipedia/commons/7/71/Portrait_of_Dev_Anand_1951.jpg,"Dharamdev Pishorimal Anand (26 September 1923 – 3 December 2011), known as Dev Anand, was a noted Indian film actor, writer, director and producer known for his work in Indian cinema. He is considered as one of the greatest and most successful actors in the Indian film industry."
1572,Jackie Shroff,,,,"Jai Kishan Kakubhai ""Jackie"" Shroff (born 1 February 1957) is an Indian actor. He has been in the Hindi cinema (Bollywood) industry for almost four decades and as of 2017[update] has appeared in more than 220 films in thirteen (13) languages. (Hindi, Konkani, Kannada, Marathi, Oriya, Punjabi, Bengali, Malayalam, Tamil, Telugu, Bhojpuri, Gujarati, and English language).[3][4] He has won four Filmfare Awards among other accolades. He has also appeared in several successful short films."
1573,Viggo Mortensen,1958-10-20,New York City,upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Viggo_Mortensen_Cannes_2016.jpg/330px-Viggo_Mortensen_Cannes_2016.jpg,"Viggo Peter Mortensen Jr. (/ˈviːɡoʊ ˈmɔːrtənsən/; Danish: [viːɡo ˈmɒːdn̩sn̩]; born October 20, 1958) is an American/Danish actor, author, photographer, poet, and painter. Born in New York to a Danish father and American mother, he was a resident of Venezuela and Argentina during his childhood. He is the recipient of various accolades including a Screen Actors Guild Award and has been nominated for three Academy Awards, three BAFTA Awards, and four Golden Globe Awards."
1574,Rupert Graves,1963-06-30,Weston-super-Mare,upload.wikimedia.org/wikipedia/commons/thumb/1/18/Rupert_Graves_2010_cropped.jpg/330px-Rupert_Graves_2010_cropped.jpg,
1575,Shalini Pandey,1993-09-23,Jabalpur,upload.wikimedia.org/wikipedia/commons/thumb/1/11/Shalini_Pandey_at_Kalyan_ram_movie_opening1.png/330px-Shalini_Pandey_at_Kalyan_ram_movie_opening1.png,"Shalini Pandey (born 23 September 1993) is an Indian actress who rose to stardom with her debut film, Arjun Reddy.[1][2][3]"
1576,Shimit Amin,,Kampala,upload.wikimedia.org/wikipedia/commons/thumb/8/80/Shimit_amin_rocket_singh_photocall.jpg/330px-Shimit_amin_rocket_singh_photocall.jpg,"Amin was born in Kampala, Uganda[1]  but grew up in Florida, in the United States. While Shimit Amin was enamored with film culture from an early age, his parents pressed him to be more conventional in his college studies; he graduated with a degree in mathematics from the University of Florida. After playing a significant role in organizing and promoting North Florida's first international film festival, The 1991 Asian/Asian American International Film Festival, in Jacksonville, Florida, Shimit moved to Miami and primarily worked on industrial/corporate and small independent film projects. After about a year in Miami, Amin traveled to California where he worked on independent films before beginning to work, in many behind the camera roles with major Hollywood directors. Amin's energy, film knowledge and high quality work attracted the attention of Bollywood filmmakers. From Los Angeles, Mr. Amin moved on to working in the Indian film Industry."
1577,Heath Ledger,1979-04-04,Perth,upload.wikimedia.org/wikipedia/commons/thumb/6/63/Heath_Ledger_%28Berlin_Film_Festival_2006%29_revised.jpg/330px-Heath_Ledger_%28Berlin_Film_Festival_2006%29_revised.jpg,"Heath Andrew Ledger[a] (4 April 1979 – 22 January 2008)[1] was an Australian actor and music video director. After performing roles in several Australian television and film productions during the 1990s, Ledger left for the United States in 1998 to further develop his film career. His work comprised nineteen films, including 10 Things I Hate About You (1999), The Patriot (2000), A Knight's Tale (2001), Monster's Ball (2001), Lords of Dogtown (2005), Brokeback Mountain (2005), Casanova (2005), The Dark Knight (2008), and The Imaginarium of Doctor Parnassus (2009), the latter two being posthumous releases.[2] He also produced and directed music videos and aspired to be a film director.[3]"
1578,James Clavell,1921-10-10,Sydney,upload.wikimedia.org/wikipedia/en/d/de/James_Clavell.jpg,"James Clavell (born Charles Edmund Dumaresq Clavell, 10 October 1921[2] – 6 September 1994), was a British (and later naturalized American) novelist, screenwriter, director, and World War II veteran and prisoner of war. Clavell is best known as the author of his Asian Saga novels, a number of which have had television adaptations. Clavell also authored such screenplays as those for The Fly  (1958) (based on the short story by George Langelaan) and The Great Escape (1963) (based on the personal account of Paul Brickhill)."
1579,Damián Szifron,1975-07-09,Ramos Mejía,upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Dami%C3%A1n_Szifron_%28cropped%29.jpg/375px-Dami%C3%A1n_Szifron_%28cropped%29.jpg,"Born to a Jewish family,[3] Szifron studied cinema with the theoric film writer Angel Faretta. Szifron was the writer and director of Hermanos y Detectives (""Brothers and Detectives""), the follow-up series to the hugely popular Los Simuladores (""The Pretenders""). His 2014 film Wild Tales was selected to compete for the Palme d'Or in the main competition section at the 2014 Cannes Film Festival,[4], nominated for the Best Foreign Language Film at the 87th Academy Awards and winner of both the BAFTA and Goya awards for Best Foreign Language Film."
1580,S.S. Kanchi,1975-07-09,Ramos Mejía,upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Dami%C3%A1n_Szifron_%28cropped%29.jpg/375px-Dami%C3%A1n_Szifron_%28cropped%29.jpg,
1581,Makoto Shinkai,1973-02-09,"Koumi, Nagano",upload.wikimedia.org/wikipedia/commons/thumb/3/39/Makoto_Shinkhai_in_Moscow.JPG/330px-Makoto_Shinkhai_in_Moscow.JPG,"A native of Nagano Prefecture, Shinkai studied Japanese literature at Chuo University, where he was a member of juvenile literature club and drew picture books. He traces his passion for creation to the manga, anime and novels he was exposed to in middle school. His favorite anime is Castle in the Sky by Hayao Miyazaki. Shinkai has been called ""The New Miyazaki"" in several reviews,[5][6] including those by Anime Advocates and ActiveAnime—comparisons he calls an ""overestimation"".[7]"
1582,Joe Keaton,1867-07-06,Indiana,upload.wikimedia.org/wikipedia/en/1/12/Joe_keaton.jpg,"Joseph Hallie Keaton (July 6, 1867 – January 13, 1946) was an American vaudeville performer and silent film actor. He was the father of actor Buster Keaton and appeared with his son in several of his films."
1583,Sterling Hayden,1916-03-26,"Upper Montclair, New Jersey",upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Sterling_Hayden_1953.jpg/330px-Sterling_Hayden_1953.jpg,"Sterling Walter Hayden (born Sterling Relyea Walter; March 26, 1916 – May 23, 1986) was an American actor, author, and sailor. A leading man for most of his career, he specialized in westerns and film noir throughout the 1950s, in films such as John Huston's The Asphalt Jungle (1950), Nicholas Ray's Johnny Guitar (1954), and Stanley Kubrick's The Killing (1956). He became noted for supporting roles in the 1960s, perhaps most memorably as General Jack D. Ripper in Kubrick's Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)."
1584,Pablo Rago,1972-09-24,Buenos Aires,,
1585,Sridevi,1963-08-13,,upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Sridevi.jpg/330px-Sridevi.jpg,
1586,Sô Yamamura,1910-02-24,Tenri,upload.wikimedia.org/wikipedia/commons/thumb/d/d0/So_Yamamura_5.jpg/330px-So_Yamamura_5.jpg,"So Yamamura (山村聰, Yamamura Sō, 24 February 1910 – 26 May 2000) was a Japanese actor and film director.[1] He appeared in more than 110 films between 1947 and 1991, and directed four films. He was also known by the name Satoshi Yamamura, while his actual birth name is Koga Hirosada. In the US, he is well known for his portrayals of Japanese Admiral Isoroku Yamamoto of the Combined Fleet, in Tora! Tora! Tora!, and of Mr. Sakamoto, the CEO of Assan Motors in Gung Ho."
