id,title,release_date,duration,discription,image,country,budget,boc,status,avg_rating,num_rating,trailer,type,taglines
439,The Hustle (2019) ,2019-05-17,,"    Anne Hathaway and Rebel Wilson star as female scam artists, one low rent and the other high class, who team up to take down the dirty rotten men who have wronged them.","https://m.media-amazon.com/images/M/MV5BMTc3MDcyNzE5N15BMl5BanBnXkFtZTgwNzE2MDE0NzM@._V1_UY67_CR0,0,45,67_AL_.jpg","India
",185000000.0,370000000.0,NA,0.0,0.0,https://www.imdb.com/video/imdb/vi2275195929?playlistId=tt1298644,M,"
They're giving Dirty Rotten Men a run for their Money.        "
440,Captain America: The Winter Soldier (2014) ,2014-04-4,136.0,"    For Steve Rogers, awakening after decades of suspended animation involves more than catching up on pop culture; it also means that this old school idealist must face a world of subtler threats and difficult moral complexities. That becomes clear when Director Nick Fury is killed by the mysterious assassin, the Winter Soldier, but not before warning Rogers that SHIELD has been subverted by its enemies. When Rogers acts on Fury's warning to trust no one there, he is branded as a traitor by the organization. Now a fugitive, Captain America must get to the bottom of this deadly mystery with the help of the Black Widow and his new friend, The Falcon. However, the battle will be costly for the Sentinel of Liberty, with Rogers finding enemies where he least expects them while learning that the Winter Soldier looks disturbingly familiar.","https://m.media-amazon.com/images/M/MV5BMzA2NDkwODAwM15BMl5BanBnXkFtZTgwODk5MTgzMTE@._V1_UY67_CR0,0,45,67_AL_.jpg","India
",170000000.0,714766572.0,NA,0.0,0.0,https://www.imdb.com/video/imdb/vi111127321?playlistId=tt1843866,M,"
In heroes we trust.        "
441,Venom (2018) ,2018-10-5,112.0,"    After a faulty interview with the Life Foundation ruins his career, former reporter Eddie Brock's life is in pieces. Six months later, he comes across the Life Foundation again, and he comes into contact with an alien symbiote and becomes Venom, a parasitic antihero.","https://m.media-amazon.com/images/M/MV5BNzAwNzUzNjY4MV5BMl5BanBnXkFtZTgwMTQ5MzM0NjM@._V1_UY67_CR0,0,45,67_AL_.jpg","India
",100000000.0,855013954.0,NA,0.0,0.0,https://www.imdb.com/video/imdb/vi1186773529?playlistId=tt1270797,M,"
The world has enough Superheroes.                
 See more »
                
"
442,The Upside (2017) ,2019-01-11,126.0,"    Philip is a disabled white billionaire, who feels that life is not worth living. To help him in his day to day routine, he hires Del, an African American parolee, trying to reconnect with his estranged wife. What begins as a professional relationship develops into a friendship as Del shows his grouchy charge that life is worth living.","https://m.media-amazon.com/images/M/MV5BNzY3NzYyNjI0N15BMl5BanBnXkFtZTgwNjYzMDc0NjM@._V1_UY67_CR0,0,45,67_AL_.jpg","USA
",37500000.0,50781331.0,NA,0.0,0.0,https://www.imdb.com/video/imdb/vi1386527257?playlistId=tt1987680,M,"
Based on a true story.        "
443,Vice (2018) ,2018-12-25,132.0,"    Governor George W. Bush of Texas picks Dick Cheney, the CEO of Halliburton Co, to be his Republican running mate in the 2000 presidential election. No stranger to politics, Cheney's impressive resume includes stints as White House chief of staff, House Minority Whip and defense secretary. When Bush wins by a narrow margin, Cheney begins to use his newfound power to help reshape the country and the world.","https://m.media-amazon.com/images/M/MV5BMTY1NjM0MzgxMV5BMl5BanBnXkFtZTgwNDc4NTY0NjM@._V1_UX45_CR0,0,45,67_AL_.jpg","USA
",95672564.0,47836282.0,NA,0.0,0.0,https://www.imdb.com/video/imdb/vi1144502809?playlistId=tt6266538,M,"
The Untold True Story That Changed the Course of History.                
 See more »
                
"
444,The White Crow (2018) ,2019-03-22,,    The story of Rudolf Nureyev's defection to the West.,"https://m.media-amazon.com/images/M/MV5BNGIwMjFmMGQtZjYxNC00NmJjLTlkM2QtMWMyZTA3YjZhNzBlXkEyXkFqcGdeQXVyOTgxNDIzMTY@._V1_UY67_CR0,0,45,67_AL_.jpg","UK
",,,NA,0.0,0.0,https://www.imdb.com/video/imdb/vi896907801?playlistId=tt5460858,M,"
In 1961, A Dazzling Rudolf Nureyev Arrives in Paris and Makes a Choice That Changes His Life Forever        "
445,Rambo V: Last Blood (2019) ,2019-09-20,,"    Rambo teams up with a journalist to track down and rescue a group of local girls that have been kidnapped by a Mexican sex trafficking ring, after trying to settle down to a quiet peaceful life stateside at the family ranch in Arizona after spending decades abroad.","https://m.media-amazon.com/images/M/MV5BMmZlMmIwNjktOTI0OC00NDJkLTk5MjgtZDA5N2YwOTgyZDUwXkEyXkFqcGdeQXVyNDUyMTU0NDg@._V1_UY67_CR10,0,45,67_AL_.jpg","USA
",,,NA,0.0,0.0,,M,"

 Add content advisory for parents »
        
"
446,Lo spietato (2019) ,2019-04-8,,    A rebellious teen grows up to become one of Milan's most ambitious criminals during the golden years of the 'ndrangheta Mafia in the 1980s.,"https://m.media-amazon.com/images/M/MV5BMDU3NGRmMmItYzc2OS00NDZiLThhZTctMmY0OTk1MjFjNTM0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR1,0,45,67_AL_.jpg","Italy
",,,NA,0.0,0.0,https://www.imdb.com/video/imdb/vi1761000729?playlistId=tt9239888,M,"

 See all certifications »
            
"
447,Ocean's Eight (2018) ,2018-06-22,110.0,"    Danny Ocean's estranged sister Debbie attempts to pull off the heist of the century at New York City's star-studded annual Met Gala. Her first stop is to assemble the perfect all-female crew: Lou, Rose, Daphne Kluger, Nine Ball, Tammy, Amita, and Constance.","https://m.media-amazon.com/images/M/MV5BMjAyNDEyMzc4Ml5BMl5BanBnXkFtZTgwMjEzNjM0NTM@._V1_UY67_CR0,0,45,67_AL_.jpg","India
",70000000.0,283980167.0,NA,0.0,0.0,https://www.imdb.com/video/imdb/vi1135459097?playlistId=tt5164214,M,"
Every con has its pros.                
 See more »
                
"
448,The Incredible Hulk (2008) ,2008-06-20,112.0,"    Depicting the events after the Gamma Bomb. 'The Incredible Hulk' tells the story of Dr Bruce Banner, who seeks a cure to his unique condition, which causes him to turn into a giant green monster under emotional stress. Whilst on the run from military which seeks his capture, Banner comes close to a cure. But all is lost when a new creature emerges; The Abomination.","https://m.media-amazon.com/images/M/MV5BMTUyNzk3MjA1OF5BMl5BanBnXkFtZTcwMTE1Njg2MQ@@._V1_UY67_CR0,0,45,67_AL_.jpg","India
",150000000.0,263427551.0,NA,0.0,0.0,https://www.imdb.com/video/imdb/vi1726152985?playlistId=tt0800080,M,"
This June, a hero shows his true colors                
 See more »
                
"
