title1,final_genres
Sarfarosh (1999) ,Action
Sarfarosh (1999) ,Drama
Anniyan (2005) ,Thriller
Anniyan (2005) ,Action
Anniyan (2005) ,Drama
Pink (2016) ,Thriller
Pink (2016) ,Drama
Lagaan: Once Upon a Time in India (2001) ,Sport
Lagaan: Once Upon a Time in India (2001) ,Musical
Lagaan: Once Upon a Time in India (2001) ,Drama
Lagaan: Once Upon a Time in India (2001) ,Adventure
Kahaani (2012) ,Mystery
Kahaani (2012) ,Thriller
PK (2014) ,Comedy
PK (2014) ,Fantasy
PK (2014) ,Drama
Iqbal (2005) ,Sport
Iqbal (2005) ,Drama
Arjun Reddy (2017) ,Sport
Arjun Reddy (2017) ,Drama
Zindagi Na Milegi Dobara (2011) ,Comedy
Zindagi Na Milegi Dobara (2011) ,Drama
Maqbool (2003) ,Thriller
Maqbool (2003) ,Crime
Maqbool (2003) ,Drama
Theeran Adhigaaram Ondru (2017) ,Thriller
Theeran Adhigaaram Ondru (2017) ,Crime
Theeran Adhigaaram Ondru (2017) ,Action
Masaan (2015) ,Drama
Baasha (1995) ,Crime
Baasha (1995) ,Action
Baasha (1995) ,Drama
The Legend of Bhagat Singh (2002) ,Action
The Legend of Bhagat Singh (2002) ,Drama
The Legend of Bhagat Singh (2002) ,Biography
The Legend of Bhagat Singh (2002) ,History
Omkara (2006) ,Thriller
Omkara (2006) ,Crime
Omkara (2006) ,Action
Omkara (2006) ,Drama
Barfi! (2012) ,Romance
Barfi! (2012) ,Comedy
Barfi! (2012) ,Drama
Lage Raho Munna Bhai (2006) ,Drama
Lage Raho Munna Bhai (2006) ,Comedy
Lage Raho Munna Bhai (2006) ,Romance
Lage Raho Munna Bhai (2006) ,Fantasy
Bommarillu (2006) ,Romance
Bommarillu (2006) ,Comedy
Bommarillu (2006) ,Drama
Bombay (1995) ,Romance
Bombay (1995) ,Musical
Bombay (1995) ,Drama
Deewaar (1975) ,Thriller
Deewaar (1975) ,Crime
Deewaar (1975) ,Action
Deewaar (1975) ,Drama
Lucia (2013) ,Thriller
Lucia (2013) ,Crime
Lucia (2013) ,Action
Lucia (2013) ,Drama
Ugly (2013) ,Thriller
Ugly (2013) ,Crime
Ugly (2013) ,Drama
Ugly (2013) ,Mystery
Mother India (1957) ,Musical
Mother India (1957) ,Family
Mother India (1957) ,Drama
Dilwale Dulhania Le Jayenge (1995) ,Musical
Dilwale Dulhania Le Jayenge (1995) ,Drama
Dilwale Dulhania Le Jayenge (1995) ,Comedy
Dilwale Dulhania Le Jayenge (1995) ,Romance
Gulaal (2009) ,Thriller
Gulaal (2009) ,Crime
Gulaal (2009) ,Drama
Baahubali 2: The Conclusion (2017) ,Action
Baahubali 2: The Conclusion (2017) ,Drama
Padosan (1968) ,Romance
Padosan (1968) ,Comedy
Padosan (1968) ,Musical
Haider (2014) ,Thriller
Haider (2014) ,Crime
Haider (2014) ,Action
Haider (2014) ,Drama
Indian (1996) ,Thriller
Indian (1996) ,Action
Indian (1996) ,Drama
Dev.D (2009) ,Romance
Dev.D (2009) ,Comedy
Dev.D (2009) ,Drama
Special Chabbis (2013) ,Thriller
Special Chabbis (2013) ,Crime
Special Chabbis (2013) ,Drama
Vedam (2010) ,Thriller
Vedam (2010) ,Crime
Vedam (2010) ,Drama
Athadu (2005) ,Thriller
Athadu (2005) ,Musical
Athadu (2005) ,Action
Company (2002) ,Thriller
Company (2002) ,Crime
Company (2002) ,Action
Company (2002) ,Drama
Vaastav: The Reality (1999) ,Action
Vaastav: The Reality (1999) ,Drama
Badhaai Ho (2018) ,Comedy
Badhaai Ho (2018) ,Drama
Bajrangi Bhaijaan (2015) ,Comedy
Bajrangi Bhaijaan (2015) ,Action
Bajrangi Bhaijaan (2015) ,Drama
Ship of Theseus (2012) ,Drama
Manjhi: The Mountain Man (2015) ,Biography
Manjhi: The Mountain Man (2015) ,Adventure
Manjhi: The Mountain Man (2015) ,Drama
Ankhon Dekhi (2013) ,Comedy
Ankhon Dekhi (2013) ,Drama
Pizza (2012) ,Comedy
Pizza (2012) ,Drama
Jab We Met (2007) ,Romance
Jab We Met (2007) ,Comedy
Jab We Met (2007) ,Drama
Dor (2006) ,Drama
Badla (2019) ,Thriller
Badla (2019) ,Crime
Badla (2019) ,Drama
Badla (2019) ,Mystery
Padman (2018) ,Biography
Padman (2018) ,Comedy
Padman (2018) ,Drama
Kal Ho Naa Ho (2003) ,Romance
Kal Ho Naa Ho (2003) ,Comedy
Kal Ho Naa Ho (2003) ,Drama
Airlift (2016) ,History
Airlift (2016) ,Drama
Hey Ram (2000) ,History
Hey Ram (2000) ,Crime
Hey Ram (2000) ,Drama
Vaaranam Aayiram (2008) ,Romance
Vaaranam Aayiram (2008) ,Musical
Vaaranam Aayiram (2008) ,Drama
Baby (2015) ,Thriller
Baby (2015) ,Action
My Name Is Khan (2010) ,Drama
Rangasthalam (2018) ,Drama
Secret Superstar (2017) ,Music
Secret Superstar (2017) ,Drama
Lakshya (2004) ,Action
Lakshya (2004) ,Drama
Lakshya (2004) ,War
Lakshya (2004) ,Romance
Bahubali: The Beginning (2015) ,Action
Bahubali: The Beginning (2015) ,Drama
Border (1997) ,Action
Border (1997) ,Drama
Border (1997) ,War
Border (1997) ,History
K.G.F: Chapter 1 (2018) ,Action
K.G.F: Chapter 1 (2018) ,Drama
Vettaiyaadu Vilaiyaadu (2006) ,Thriller
Vettaiyaadu Vilaiyaadu (2006) ,Crime
Vettaiyaadu Vilaiyaadu (2006) ,Action
Gangaajal (2003) ,Crime
Gangaajal (2003) ,Action
Gangaajal (2003) ,Drama
Ab Tak Chhappan (2004) ,Thriller
Ab Tak Chhappan (2004) ,Crime
Ab Tak Chhappan (2004) ,Action
Ab Tak Chhappan (2004) ,Drama
Johnny Gaddaar (2007) ,Thriller
Johnny Gaddaar (2007) ,Crime
Johnny Gaddaar (2007) ,Drama
Johnny Gaddaar (2007) ,Mystery
English Vinglish (2012) ,Comedy
English Vinglish (2012) ,Family
English Vinglish (2012) ,Drama
Manam (2014) ,Comedy
Manam (2014) ,Fantasy
Manam (2014) ,Drama
Okkadu (2003) ,Romance
Okkadu (2003) ,Action
Ulidavaru Kandanthe (2014) ,Romance
Ulidavaru Kandanthe (2014) ,Action
Dabba (2013) ,Romance
Dabba (2013) ,Drama
Rock On!! (2008) ,Music
Rock On!! (2008) ,Drama
Stanley Ka Dabba (2011) ,Comedy
Stanley Ka Dabba (2011) ,Family
Stanley Ka Dabba (2011) ,Drama
Don (1978) ,Thriller
Don (1978) ,Crime
Don (1978) ,Action
Udta Punjab (2016) ,Crime
Udta Punjab (2016) ,Action
Udta Punjab (2016) ,Drama
Mr. India (1987) ,Musical
Mr. India (1987) ,Action
Mr. India (1987) ,Drama
Mr. India (1987) ,Comedy
Mr. India (1987) ,Family
Mr. India (1987) ,Sci-Fi
Nayak: The Real Hero (2001) ,Thriller
Nayak: The Real Hero (2001) ,Action
Nayak: The Real Hero (2001) ,Drama
Hindi Medium (2017) ,Thriller
Hindi Medium (2017) ,Action
Hindi Medium (2017) ,Drama
Dasvidaniya (2008) ,Comedy
Dasvidaniya (2008) ,Drama
Vicky Donor (2012) ,Romance
Vicky Donor (2012) ,Comedy
Raazi (2018) ,Thriller
Raazi (2018) ,Action
Raazi (2018) ,Drama
Oye Lucky! Lucky Oye! (2008) ,Comedy
Oye Lucky! Lucky Oye! (2008) ,Crime
Oye Lucky! Lucky Oye! (2008) ,Drama
Mumbai Meri Jaan (2008) ,Drama
Guru (2007) ,Biography
Guru (2007) ,Drama
Samsara (2001) ,Romance
Samsara (2001) ,Adventure
Samsara (2001) ,Drama
Pokiri (2006) ,Thriller
Pokiri (2006) ,Crime
Pokiri (2006) ,Action
Veer-Zaara (2004) ,Musical
Veer-Zaara (2004) ,Drama
Veer-Zaara (2004) ,Romance
Veer-Zaara (2004) ,Family
Charlie (2015) ,Musical
Charlie (2015) ,Drama
Charlie (2015) ,Romance
Charlie (2015) ,Family
Earth (1998) ,Romance
Earth (1998) ,War
Earth (1998) ,Drama
Aamir (2008) ,Thriller
Aamir (2008) ,Crime
Aamir (2008) ,Drama
Kapoor & Sons (2016) ,Romance
Kapoor & Sons (2016) ,Comedy
Kapoor & Sons (2016) ,Drama
Agneepath (1990) ,Crime
Agneepath (1990) ,Action
Agneepath (1990) ,Drama
Newton (2017) ,Drama
RangiTaranga (2015) ,Drama
Pyaar Ka Punchnama (2011) ,Drama
Eega (2012) ,Comedy
Eega (2012) ,Fantasy
Eega (2012) ,Action
Manorama Six Feet Under (2007) ,Thriller
Manorama Six Feet Under (2007) ,Crime
Manorama Six Feet Under (2007) ,Drama
Manorama Six Feet Under (2007) ,Mystery
Neerja (2016) ,Thriller
Neerja (2016) ,Biography
Neerja (2016) ,Drama
Madras Cafe (2013) ,Thriller
Madras Cafe (2013) ,Action
Madras Cafe (2013) ,Drama
Sarkar (2005) ,Crime
Sarkar (2005) ,Action
Sarkar (2005) ,Drama
Kabhi Haan Kabhi Naa (1994) ,Music
Kabhi Haan Kabhi Naa (1994) ,Musical
Kabhi Haan Kabhi Naa (1994) ,Drama
Kabhi Haan Kabhi Naa (1994) ,Comedy
Sanju (2018) ,Biography
Sanju (2018) ,Drama
Darr (1993) ,Romance
Darr (1993) ,Thriller
Darr (1993) ,Drama
Bheja Fry (2007) ,Comedy
Bheja Fry (2007) ,Drama
Goodachari (2018) ,Comedy
Goodachari (2018) ,Drama
Stree (2018) ,Comedy
Stree (2018) ,Horror
Tanu Weds Manu Returns (2015) ,Romance
Tanu Weds Manu Returns (2015) ,Comedy
Tanu Weds Manu Returns (2015) ,Drama
Rockstar (2011) ,Music
Rockstar (2011) ,Musical
Rockstar (2011) ,Drama
Rockstar (2011) ,Romance
24 (2016) ,Music
24 (2016) ,Musical
24 (2016) ,Drama
24 (2016) ,Romance
Kai po che! (2013) ,Sport
Kai po che! (2013) ,Drama
Kuch Kuch Hota Hai (1998) ,Musical
Kuch Kuch Hota Hai (1998) ,Drama
Kuch Kuch Hota Hai (1998) ,Comedy
Kuch Kuch Hota Hai (1998) ,Romance
Highway (2014) ,Romance
Highway (2014) ,Crime
Highway (2014) ,Drama
Magadheera (2009) ,Action
Magadheera (2009) ,Drama
Magadheera (2009) ,Romance
Magadheera (2009) ,Fantasy
Baazigar (1993) ,Thriller
Baazigar (1993) ,Musical
Baazigar (1993) ,Crime
Baazigar (1993) ,Drama
Baazigar (1993) ,Romance
Ek Hasina Thi (2004) ,Thriller
Ek Hasina Thi (2004) ,Crime
Ek Hasina Thi (2004) ,Drama
Ek Hasina Thi (2004) ,Mystery
Saala Khadoos (2016) ,Sport
Saala Khadoos (2016) ,Action
Saala Khadoos (2016) ,Drama
M.S. Dhoni: The Untold Story (2016) ,Biography
M.S. Dhoni: The Untold Story (2016) ,Sport
M.S. Dhoni: The Untold Story (2016) ,Drama
Wake Up Sid (2009) ,Romance
Wake Up Sid (2009) ,Comedy
Wake Up Sid (2009) ,Drama
Jodhaa Akbar (2008) ,Action
Jodhaa Akbar (2008) ,Drama
Jodhaa Akbar (2008) ,War
Jodhaa Akbar (2008) ,Romance
Jodhaa Akbar (2008) ,History
Parmanu: The Story of Pokhran (2018) ,History
Parmanu: The Story of Pokhran (2018) ,Action
Parmanu: The Story of Pokhran (2018) ,Drama
Dil Se.. (1998) ,Romance
Dil Se.. (1998) ,Drama
Kaththi (2014) ,Romance
Kaththi (2014) ,Drama
Piku (2015) ,Comedy
Piku (2015) ,Drama
Thuppakki (2012) ,Thriller
Thuppakki (2012) ,Action
Devdas (2002) ,Romance
Devdas (2002) ,Musical
Devdas (2002) ,Drama
Delhi Belly (2011) ,Comedy
Delhi Belly (2011) ,Crime
Delhi Belly (2011) ,Action
Kesari (2019) ,Comedy
Kesari (2019) ,Crime
Kesari (2019) ,Action
Aankhen (2002) ,Thriller
Aankhen (2002) ,Crime
Aankhen (2002) ,Drama
Aankhen (2002) ,Comedy
Detective Byomkesh Bakshy! (2015) ,Mystery
Detective Byomkesh Bakshy! (2015) ,Thriller
Detective Byomkesh Bakshy! (2015) ,Action
Raanjhanaa (2013) ,Romance
Raanjhanaa (2013) ,Drama
Qayamat Se Qayamat Tak (1988) ,Romance
Qayamat Se Qayamat Tak (1988) ,Musical
Qayamat Se Qayamat Tak (1988) ,Drama
Trapped (2016) ,Thriller
Trapped (2016) ,Action
Trapped (2016) ,Drama
1 - Nenokkadine (2014) ,Mystery
1 - Nenokkadine (2014) ,Thriller
1 - Nenokkadine (2014) ,Action
Rocket Singh: Salesman of the Year (2009) ,Comedy
Rocket Singh: Salesman of the Year (2009) ,Drama
Khakee (2004) ,Thriller
Khakee (2004) ,Crime
Khakee (2004) ,Action
Khakee (2004) ,Drama
The Ghazi Attack (2017) ,War
The Ghazi Attack (2017) ,Thriller
The Ghazi Attack (2017) ,Action
Amar Akbar Anthony (1977) ,Action
Amar Akbar Anthony (1977) ,Drama
Amar Akbar Anthony (1977) ,Comedy
Amar Akbar Anthony (1977) ,Family
Hungama (2003) ,Romance
Hungama (2003) ,Comedy
Hungama (2003) ,Drama
Rehnaa Hai Terre Dil Mein (2001) ,Romance
Rehnaa Hai Terre Dil Mein (2001) ,Musical
Hum Dil De Chuke Sanam (1999) ,Musical
Hum Dil De Chuke Sanam (1999) ,Drama
Hum Dil De Chuke Sanam (1999) ,Comedy
Hum Dil De Chuke Sanam (1999) ,Romance
Hum Aapke Hain Koun...! (1994) ,Musical
Hum Aapke Hain Koun...! (1994) ,Drama
Hum Aapke Hain Koun...! (1994) ,Comedy
Hum Aapke Hain Koun...! (1994) ,Romance
Rangeela (1995) ,Musical
Rangeela (1995) ,Drama
Rangeela (1995) ,Comedy
Rangeela (1995) ,Romance
Socha Na Tha (2005) ,Musical
